procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 133628  15452 283808    0    0     0     0  252  142  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  254  147  2  0 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  252  140  0  0 100  0  0
 0  0      0 133628  15452 283808    0    0     0     0  254  145  1  1 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  254  140  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  253  145  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 133628  15452 283808    0    0     0     0  256  142  2  0 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  256  150  1  1 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  252  142  2  0 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  254  148  1  1 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  252  158  2  0 98  0  0
 0  0      0 133604  15452 283808    0    0     0     0  324 1824  4  2 94  0  0
 0  0      0 133628  15452 283808    0    0     0     0  259  214  1  0 99  0  0
 0  0      0 133628  15452 283808    0    0     0     0  259  870  2  2 96  0  0
 0  0      0 133628  15452 283808    0    0     0     0  255  145  2  0 98  0  0
 0  0      0 133628  15452 283808    0    0     0     0  343 2078  2  1 97  0  0
